Alpha-3 code,CountryName_CN,Year,SDI,SDI_Economy,SDI_Society,SDI_Resource,SDI_Ecology,Region
SYC,塞舌尔,2021,0.6623019087709361,0.4726593713752563,0.7570766996925259,0.6529429848574365,0.6381960237259678,E
NAM,纳米比亚,2021,0.6038858370553463,0.384056360632437,0.6430388576566147,0.5499631141185815,0.6827478803915988,S
GAB,加蓬,2021,0.5975478114075577,0.4730256600654314,0.6085323872884523,0.5686042273506151,0.6503610521765524,C
BWA,博茨瓦纳,2021,0.5809959937914325,0.437397923341928,0.6344417391329236,0.5254748225421938,0.6216170588755218,S
SEN,塞内加尔,2021,0.5672085252625574,0.2726358394197775,0.6309839210092424,0.5266289069546376,0.6455147146703372,W
GHA,加纳,2021,0.5352783564261454,0.2893175161922298,0.6430655538368906,0.5067942516978794,0.5534053643208122,W
GNB,几内亚（比绍）,2021,0.5348506100783064,0.2740961867286493,0.4618088428508038,0.4922631308167258,0.7128394231717495,W
MUS,毛里求斯,2021,0.5281533227443074,0.4114372955538533,0.7099125265581437,0.6390587120675149,0.3803912598188949,S
ZAF,南非,2021,0.527837980741573,0.4450525145340334,0.7582528611424753,0.5070315985686733,0.3832171178486231,S
GIN,几内亚,2021,0.5265029819214013,0.3999307548962715,0.4929311534534017,0.5251020527173842,0.600295463132946,W
COM,科摩罗,2021,0.5199783850527496,0.2651682761511758,0.5448318030202293,0.534700154621517,0.5836101147981563,E
COG,刚果（布）,2021,0.5196669089517315,0.3628946854348072,0.4686748231302825,0.543619380445422,0.6039155249565044,C
ZMB,赞比亚,2021,0.5193816542315415,0.3733550972989438,0.4438724697395707,0.42417629728602,0.6880999014771331,S
TZA,坦桑尼亚,2021,0.5144922463611791,0.2579232031588255,0.4697700635601328,0.502243048365587,0.6505958762627799,E
CIV,科特迪瓦,2021,0.5110500798227521,0.30990239108273,0.5743169733502287,0.5295126799642585,0.5220107064938941,W
