Region,Region_Name,country_count,avg_sdi,avg_economy,avg_society,avg_resource,avg_ecology
S,Southern Africa,11,0.508447665634296,0.35816841463196875,0.5333824287118963,0.5168871901238833,0.5397133522865424
W,Western Africa,15,0.489039255062531,0.2820253475469397,0.5137462747829201,0.5069884540530757,0.5336361730551892
C,Central Africa,8,0.48097242137378216,0.3099139944797541,0.456889026919731,0.5157574838252091,0.535696442974038
E,Eastern Africa,11,0.4688620821496467,0.31630863329365044,0.5025547361677631,0.5191789178350341,0.46613772779560264
