Alpha-3 code,CountryName_CN,Year,SDI,SDI_Economy,SDI_Society,SDI_Resource,SDI_Ecology,Region
KEN,肯尼亚,2001,0.3969515333231863,0.2752555795966648,0.254347217287477,0.5117521542729448,0.4904422242550595,E
KEN,肯尼亚,2002,0.4016358665194017,0.2773891195087937,0.2595995321758183,0.5138174263959392,0.4970956893194281,E
KEN,肯尼亚,2003,0.4038260484800542,0.2833070999257821,0.2666450518211583,0.5111732584022366,0.4967853722976194,E
KEN,肯尼亚,2004,0.4103078387620343,0.2833832617824758,0.2820824168521897,0.5127942236799661,0.5011296796847153,E
KEN,肯尼亚,2005,0.4152519191549507,0.2866944401571283,0.2971204388705621,0.5132352469018809,0.5010816786276018,E
KEN,肯尼亚,2006,0.4188522772747013,0.27859443151213,0.3118911915056521,0.5161749006968004,0.500252783441067,E
KEN,肯尼亚,2007,0.4202164186515782,0.2779452639820952,0.3244624514671414,0.5157927839927792,0.4942762715097036,E
KEN,肯尼亚,2008,0.4258462847004661,0.267267233621716,0.3447250866952042,0.5148711250911137,0.497728149472222,E
KEN,肯尼亚,2009,0.4284287683599015,0.2667517550932491,0.3499784744097713,0.5135234325509588,0.5015290841379036,E
KEN,肯尼亚,2010,0.4328464885980108,0.2749510668397276,0.3642645841486346,0.5165359501318857,0.4973966884375769,E
KEN,肯尼亚,2011,0.4408609614228599,0.2671379403296209,0.3951629780281973,0.5163909993679945,0.4973036715103738,E
KEN,肯尼亚,2012,0.4459214224153947,0.265790827800653,0.4055764431719988,0.517789452980345,0.5024547392495485,E
KEN,肯尼亚,2013,0.4525812250856672,0.2622474690188888,0.4305217152800021,0.5180311947622795,0.5016932507184558,E
KEN,肯尼亚,2014,0.4560124281250819,0.2602400413522991,0.4376430659312574,0.5172696067118067,0.5065158165037955,E
KEN,肯尼亚,2015,0.4603813981899096,0.265746152678966,0.4514697687564794,0.5157992091079244,0.5061735931742237,E
KEN,肯尼亚,2016,0.4643198926154897,0.2662731561858981,0.46592748381921,0.5165910053713828,0.504639546850064,E
KEN,肯尼亚,2017,0.4675000526888408,0.2633327777566933,0.4730782020679425,0.5188074590027449,0.5073742814783955,E
KEN,肯尼亚,2018,0.4736775401309439,0.2702755599819058,0.4949959962493451,0.5197829006940962,0.5035223473892992,E
KEN,肯尼亚,2019,0.4807342400523482,0.2717746739521736,0.5192515922515231,0.5211639534013712,0.5019293357621797,E
KEN,肯尼亚,2020,0.4821885823734071,0.2707118955850365,0.5305148071642863,0.5216586151884908,0.4969051371258393,E
KEN,肯尼亚,2021,0.4863556705096075,0.2787022308502634,0.5349188276992015,0.5237660191784193,0.5006809587876436,E
