Alpha-3 code,CountryName_CN,Numeric,Year,SDI,SDI_Economy,SDI_Society,SDI_Resource,SDI_Ecology,SDI_Economy_TwoStage,SDI_Society_TwoStage,SDI_Resource_TwoStage,SDI_Ecology_TwoStage,SDI_TwoStage,rank_global_critic,rank_two_stage,rank_change_two_stage_minus_global,abs_rank_change,sdi_difference
AGO,安哥拉,24,2001,0.38608222890127253,0.3520617824984728,0.26510536797907547,0.5001035366250624,0.4307810913586525,0.34918532341526803,0.2792617066040634,0.4995912220679936,0.4392157890102576,0.3918135102743957,28.0,23.0,-5.0,5.0,0.005731281373123176
AGO,安哥拉,24,2002,0.38972877194676925,0.32871947256061146,0.2671013737378742,0.5168844060227924,0.4379797904007623,0.327185582340466,0.2821449208759774,0.5156905649502532,0.44713944974923664,0.3930401294789833,29.0,25.0,-4.0,4.0,0.0033113575322140654
AGO,安哥拉,24,2003,0.39512460762580176,0.3309510408175324,0.28021001739841916,0.5190354894744447,0.4401420626557503,0.3305272589844812,0.2957522018501367,0.5176739511060363,0.4495860701780125,0.3983848705296667,29.0,24.0,-5.0,5.0,0.003260262903864941
AGO,安哥拉,24,2004,0.402424177986764,0.366492633833866,0.29445125033667235,0.516725633455501,0.43712561725392085,0.3663645514597509,0.3102633622033935,0.5154746680221478,0.4464057485932737,0.4096270825696415,28.0,21.0,-7.0,7.0,0.0072029045828774785
AGO,安哥拉,24,2005,0.4066280831799995,0.40481157228362447,0.30572655769776436,0.5118722573519121,0.4284655370750918,0.40317673440917595,0.32219444271242875,0.510990136695681,0.4370625429533814,0.4183559641926668,28.0,18.0,-10.0,10.0,0.011727881012667307
AGO,安哥拉,24,2006,0.4203945508793572,0.41627066890218073,0.3257078052228364,0.5124899676947309,0.4455954128913448,0.4147514428852486,0.3422302004192514,0.5114490125868404,0.4557985381507443,0.43105729851052116,22.0,15.0,-7.0,7.0,0.010662747631163982
AGO,安哥拉,24,2007,0.4244363965058302,0.42723216209513976,0.35338337452284563,0.5070461281017749,0.4334528932984986,0.4251332622242407,0.3697100974017354,0.5061249109951875,0.44261565196590813,0.43589598064676793,21.0,15.0,-6.0,6.0,0.011459584140937729
AGO,安哥拉,24,2008,0.438903516854859,0.422413661265379,0.41643471990483355,0.49762103827676607,0.4293025507716928,0.4198800375524729,0.43676591556985167,0.49698398467014626,0.4381757634835152,0.4479514253189965,20.0,9.0,-11.0,11.0,0.0090479084641375
AGO,安哥拉,24,2009,0.4422781395803993,0.3648102013535644,0.4306093784579229,0.520620496208944,0.4347185444993938,0.36425912006457956,0.4510146499773352,0.5188811259052775,0.4441477636796933,0.4445756649067214,21.0,13.0,-8.0,8.0,0.002297525326322103
AGO,安哥拉,24,2010,0.4401691324384102,0.40751224059443286,0.4280112506340109,0.5142762915692591,0.41922315826253176,0.4058564325786556,0.44898620841945047,0.5127793159562448,0.42721988317481113,0.4487104600322905,24.0,14.0,-10.0,10.0,0.008541327593880266
