GDP per capita growth (annual %)_x,Merchandise exports (% of GDP),Final consumption expenditure (% of GDP),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added per worker (constant 2015 US$)_x","Industry (including construction), value added per worker (constant 2015 US$)_x","Services, value added per worker (constant 2015 US$)_x","Current account balance, percent of GDP (Percent of GDP)(IMF)","Employment to population ratio, 15+, total (%) (modeled ILO estimate)",gini,Proportion of seats held by women in national parliaments (%)_x,Prevalence of undernourishment (percent) (3-year average),"Life expectancy at birth, total (years)_pct_change",Labor force(% of total population),Population growth (annual %),Mean years schooling,Scientific and technical journal articles,"Prevalence of HIV, total (% of population ages 15-49)_x",Domestic general government health expenditure (% of GDP),"Mortality caused by road traffic injury (per 100,000 population)_x",People using at least basic drinking water services (% of population)_x,Individuals using the Internet (% of population)_x,Mobile cellular subscriptions (per 100 people),Access to electricity (% of population)_x,Agricultural land (% of land area),Arable land (% of land area),Adjusted savings: mineral depletion (% of GNI),Adjusted savings: net forest depletion (% of GNI),Renewable internal freshwater resources per capita (cubic meters)_x,Energy intensity level of primary energy (MJ/$2017 PPP GDP)_x,"Water productivity, total (constant 2015 US$ GDP per cubic meter of total freshwater withdrawal)_x",Adjusted savings: energy depletion (% of GNI),Energy consumption per capita (million Btu per person),"Solar, tide, wave, fuel cell electricity installed capacity (million kilowatts)_per_capita",Biomass and waste electricity net generation (million metric tons of oil equivalent)_per_capita,Forest area (% of land area)_x,Wetland area（% of land area),"Terrestrial barren land|1000 HA|ECCCT|Terrestrial Barren Land|Environment, Climate Change, Climate Indicators, Land Cover Accounts, Terrestrial Barren Land|Climate neutral(% of land area)",CO2 emissions (metric tons per capita)_x,PM2.5 exposure/Ambient particulate matter pollution,Lead exposure,Terrestrial biome protection (global weights),Species Protection Index,Alpha-3 code,CountryName_CN
-0.356512142,0.5342063492063492,53.42963393,29.64487914,2835.131289,52385.37038,9955.132861,10.42171712,64.35,,38.18181818,14.8,0.014866706264631047,0.4240761716569319,3.887945997,8.394,17.78,1.8,1.52542961,25.4,52.43574143,4.7,49.8515,34.6,36.34876073,3.769952675,0.0,0.36546349,6111.068168,2.65,121.0803747,32.41146905,11.255748229665029,3.3032800910648256e-06,0.0,57.4339761,0.5970883131467073,2.390166038341221,0.7143250064248798,20.0795137803725,703.57702995548,10.2342223605419,37.13,AGO,安哥拉
4.370087786,0.49370138888888887,53.91679572,7.112269638,2779.177389,56830.89828,10682.01347,9.640527171,64.296,,34.09090909,14.0,0.014166939218150043,0.42244709678849207,3.883583555,8.743,21.3,1.8,1.39434171,23.2,53.96293481,7.7,50.7801,37.3,36.3383332,3.769952675,0.0,0.363022331,5878.289072,2.78,131.3759877,29.06237356,11.66851645436006,3.971816940228207e-06,0.0,56.9887511,0.5972407154888906,2.4325419106441,0.7300104024665938,19.4301143088767,693.85715042962,10.2342223605419,37.13,AGO,安哥拉
0.921826358,0.45803355704697984,59.89139648,3.233508038,2692.226411,59391.57252,11465.64189,5.472175168,64.119,,34.09090909,13.5,0.013391947857967379,0.42074581072414874,3.84998069,9.092,23.85,1.8,1.5071826,22.4,55.50322796,13.0,50.7735,38.4,36.48672495,3.886259726,0.0,0.355291018,5656.277207,2.65,137.7911577,24.36883471,12.18191130807631,4.203989815643581e-06,0.0,56.54352611,0.5977059436913451,2.445921232052619,0.7687151705558669,20.1140361567382,681.37871960821,10.2342223605419,37.13,AGO,安哥拉
0.821220989,0.3867320261437909,66.67801076,4.081731881,2690.265943,56967.99057,13038.85892,-2.442177258,63.952,,36.81818182,13.2,0.011573570052759496,0.4188740753253341,3.732728067,9.441,34.57,1.8,1.16797769,23.2,57.05691157,21.3623,51.7384,32.0,36.63591883,4.018609128,0.0,0.358516879,5449.035703,2.29,144.2063331,18.22661011,12.96817672934786,4.418137056428704e-06,1.1396742186964588e-06,56.09830111,0.5983636801155049,2.4456003850164434,0.8005503282326063,17.1576150332537,655.96905115756,10.2342223605419,37.13,AGO,安哥拉
-2.804708184,0.3221456310679612,73.57290786,-2.957345826,2711.177974,55045.35966,12458.99447,-10.01807545,63.638,,36.81818182,14.2,0.010696072587588645,0.41693867538931845,3.605071622,9.791,32.12,1.8,1.08924341,23.6,58.6196312,22.0,49.3097,42.0,36.72816235,4.110852651,0.0,0.554706546,5256.092824,2.72,145.3068837,10.39627584,13.146811726865211,4.581324150418296e-06,1.2825399043685874e-06,55.65307612,0.5983636801155049,2.4454399614983555,0.8136617574286171,18.8815873297655,647.60467466571,10.2342223605419,37.13,AGO,安哥拉
-5.154029047,0.46075161063443243,67.56294215,20.87270318,2682.608279,53894.3858,11655.72793,-5.152447638,63.321,,36.81818182,15.2,0.009452508109170754,0.4152995897964128,3.57644144,10.14,37.81,1.8,1.05520773,24.7,60.19206202,23.2,44.5502,41.8,36.75623646,4.288922756,0.0,1.031762632,5071.43354,2.59,142.835896,16.05341206,11.365808994697382,4.591703340327114e-06,1.3258726801734703e-06,55.20784471,0.5994224753348842,2.438990936071228,0.7464249204418864,18.5355335798775,641.64861512943,10.2342223605419,37.13,AGO,安哥拉
-3.622865017,0.4102187371152945,65.56692878,23.71280615,2592.708488,50785.44385,11474.74063,-0.750047561,63.045,,30.45454545,15.4,0.008163066586604817,0.41395302286875085,3.540612215,10.14,55.13,1.8,1.12824702,25.5,61.77351221,26.0,44.0682,42.9,36.70891153,4.287318521,0.0,0.813139211,4895.015317,2.65,142.6225046,20.8526427,9.465602735968616,4.431973327193838e-06,1.3650666675959476e-06,54.76262934,0.5997673858987728,2.4366487527071468,0.6333974239121962,16.0367944536136,639.8352933628,10.2342223605419,37.13,AGO,安哥拉
-3.968524543,0.45533155737089087,62.2244408,25.19415615,2479.8339,47872.02217,11348.49572,8.269886538,62.812,,30.45454545,15.9,0.008048678407005516,0.41275243708253995,3.453233009,10.14,29.7,1.7,0.97981894,26.0,63.36279074,29.0,42.4589,45.3,36.71933906,4.285714286,0.0,0.61713402,4728.864333,2.47,141.7747404,25.99553718,10.25066256648837,4.281539328414995e-06,1.428626717954076e-06,54.31740595,0.6061682842704741,2.435654126895003,0.5824907995630912,17.5227633670448,637.75449959832,10.2342223605419,37.13,AGO,安哥拉
-3.529000125,0.4388710072950476,61.71838848,19.86588752,2380.431048,45803.04653,11285.47921,6.363325993,62.644,51.26,30.0,18.2,0.006850627574973789,0.41176950615203434,3.387884222,10.14,36.39,1.7,1.00303984,26.1,64.15991104,32.1294,45.8065,45.6,36.78190423,4.284912168,0.0,0.636491008,4571.339333,2.66,141.4845555,23.43624911,10.300142335789957,4.13891534225494e-06,1.4607124120817162e-06,53.87217454,0.6149675142375872,2.436945536215609,0.6170276207426622,19.4264229269162,637.10105737931,10.2342223605419,37.13,AGO,安哥拉
-7.127614827,0.37611004423071215,71.54861644,16.06358065,2365.272311,43968.76124,10939.62227,1.481531756,61.078,,30.0,20.8,0.001030911484353858,0.4031111712452661,3.267958649,10.14,48.51,1.7,1.46055436,,64.94403054,36.6347,43.7804,47.0,36.78832117,4.283307933,0.0,0.872368701,4424.364473,2.8,135.765117,15.59116712,7.93802293039719,4.107484314731113e-07,1.4137484947113299e-06,53.42695115,0.6180717093125853,2.441902622924521,0.4448866598595228,17.0475655612855,636.59992137231,10.2342223605419,37.13,AGO,安哥拉
-1.094340856,0.4332855412606523,66.64207946,35.65369228,2319.419946,41540.6373,10936.39353,10.55744069,64.306,,29.54545455,22.6,-0.002503327207047379,0.42073906819586887,3.1813226,10.14,42.35,1.7,1.51676536,,65.71625772,39.3876,44.3869,48.2,36.8308334,4.289724874,0.0,0.739017315,4285.82652,3.1,138.6199214,22.53066561,8.63258460841613,4.172889199308858e-07,1.369480481995344e-06,52.98172239,0.6262372663832517,2.44433303922355,0.4994703342183082,16.0922276348724,630.84279073444,10.2342223605419,37.13,AGO,安哥拉
0.991406796,0.39141221374045804,70.68568127,18.12177162,2502.902551,34053.08431,10341.85109,8.964775151,64.619,,33.63636364,23.1,0.020458083166555507,0.41568039694874387,3.14302612,10.14,44.99,1.6,1.30711842,,66.47632732,42.0719,66.6008,48.5,36.94714045,4.319403225,,,4153.216769,,144.4641409,,9.34693247660247,7.997748507514894e-05,1.3271067496925568e-06,52.53649723,0.6389508301917061,2.457471725354937,0.551568001249557,19.642846985693,,10.2342223605419,37.13,AGO,安哥拉
-1.808703342,0.36921495327102805,76.0732469,17.92923346,2496.855791,32920.83774,10158.0137,3.905087032,64.369,,33.63636364,22.5,0.005774678579211212,0.41510941551796077,3.080655307,10.14,,1.6,1.1340301,,67.22442526,44.7581,70.052,51.1,36.94794257,4.319403225,,,,,,,9.179246521344716,8.435395725910157e-05,1.2868080007059066e-06,52.09126967,0.0,,0.5554250696858926,,,10.2342223605419,37.13,AGO,安哥拉
-1.791143,0.4572275220437859,57.94130213,8.312825,4813.121528,38581.8107,10917.60779,10.84251001,47.914,,17.0212766,28.1,-0.001014101754587271,0.3663679570904784,2.057638658,9.772,102.48,25.7,3.50531387,31.1,75.75494898,3.43089,19.4051,24.8,45.52608826,0.352901735,0.42909242,0.317212922,1401.661202,3.79,43.81710296,0.172821623,29.939780395059813,0.0,0.0,30.88313659,1.3486669136978808,1.6229950770208037,2.050706608949373,14.8672278391476,912.35951943906,26.220772520495,93.72,BWA,博茨瓦纳
4.093208374,0.44586516735474685,59.75447466,1.187370696,2844.642965,45631.90941,11923.35852,4.842075346,46.451,,17.0212766,28.5,0.0031220072782991437,0.3713363935388359,1.880809861,9.614,121.09,25.3,3.76324773,30.2,75.91390625,3.38592,19.0435,27.0,45.60549115,0.432304625,0.301084555,0.428169112,1375.544988,3.59,46.40711085,0.130862878,30.503990885516867,0.0,0.0,30.67439521,1.3503784871102642,1.6292767278951177,2.0002141058699663,14.4045091933768,908.30958732003,26.220772520495,93.72,BWA,博茨瓦纳
2.800973794,0.3740889649187893,60.58537732,3.259084372,2588.252441,48810.8867,12936.13264,9.542448888,45.107,62.6,17.0212766,29.0,0.009126840165734285,0.37610207823685504,1.759625506,9.659,122.34,24.9,3.60058308,31.7,76.05198485,3.34519,25.0588,33.1,45.51726572,0.344079191,1.15358518,0.437885054,1351.552258,3.39,48.48137301,0.089989805,30.574898851428703,0.0,0.0,30.46565384,1.3541192454960918,1.637587563742876,1.853242776516329,15.3951124850007,873.22083026088,26.220772520495,93.72,BWA,博茨瓦纳
0.920692082,0.3921867334508717,60.31861996,10.07878865,2165.896604,51702.40546,12071.91396,3.536783233,46.497,,11.11111111,28.1,0.013661047094662315,0.38072906118266037,1.753382038,9.669,133.42,24.5,3.4343946,29.8,76.18888381,3.30489,28.9318,35.3,45.57196549,0.39877896,2.200557872,0.307268143,1328.060931,3.44,49.71897128,0.259496818,30.09723469274371,0.0,0.0,30.25691246,1.3623595009969476,1.6414341926490568,2.074987372907336,13.322167793966,819.80618478843,26.220772520495,93.72,BWA,博茨瓦纳
2.696606331,0.4461176974256628,57.50748541,15.47170657,1788.831476,58834.40255,11870.50291,16.10571085,47.82,,11.11111111,26.9,0.015175554850391126,0.384981713451497,1.794991631,9.724,123.61,24.2,2.86616707,24.8,76.32340897,3.26255,30.6424,37.5,45.55079138,0.376722602,1.515681262,0.295399433,1304.435025,3.39,51.90711612,0.195819254,31.26795628283708,0.0,0.0,30.04817109,1.362730047818185,1.6405166481393254,2.20726033370709,16.4438745058821,768.44755796336,26.220772520495,93.72,BWA,博茨瓦纳
6.361425592,0.45659115218479884,61.03849359,5.15439836,1730.302803,68608.39769,12356.24792,19.66477602,49.243,,11.11111111,26.6,0.013349023645791158,0.3887382129573714,1.865177121,9.863,185.14,23.9,2.79110265,24.7,77.37937464,4.28993,43.9084,39.7,45.52961728,0.354666243,4.741351257,0.301608643,1280.330496,3.26,56.16496606,0.202371734,32.648832854892774,0.0,0.0,29.83942971,1.3630123692057947,1.6397931995835762,2.2609666367211596,12.3888752948584,727.20105910593,26.220772520495,93.72,BWA,博茨瓦纳
3.761895523,0.48962500994163993,62.54490943,6.029197651,1963.566243,63773.93864,12624.33993,15.6550615,50.523,,11.11111111,26.3,0.029449121788358124,0.39694098108990106,1.938134749,9.833,152.42,23.6,3.12948751,26.1,78.81763791,5.28,60.2637,41.9,45.49609161,0.321140578,4.899064774,0.375146397,1255.754889,3.18,59.33017893,0.227065176,32.945350465103225,0.0,0.0,29.63068833,1.366223774989854,1.6373581776154433,2.133601525951483,13.9634328957976,724.83403636764,26.220772520495,93.72,BWA,博茨瓦纳
