Region,countries,mean_sdi_change,mean_economic_change,mean_social_change,mean_resource_change,mean_ecological_change,mean_indicators_improved_observed,mean_indicators_deteriorated_observed,mean_endpoint_missing_cells
C,8,0.04686929320635064,-0.04810735600887531,0.16465946845831947,-0.012266726149029648,0.08319178652498808,18.25,13.375,0.75
E,11,0.0706837739184447,0.022943199593513486,0.18680384523030372,0.026198838614386447,0.046789212235575195,18.727272727272727,11.545454545454545,1.5454545454545454
S,11,0.07637685108160429,0.029943648347860233,0.22426405457494755,0.012264720476597797,0.039034980927011534,21.0,11.545454545454545,0.18181818181818182
W,15,0.06399038052857503,0.020772070941755632,0.1923878607243725,-0.0022587383667462602,0.045060328814918275,21.8,10.4,0.0
